food,food_id,nutrient_id,fcdb_param,us_value,us_n,us_src,us_cv_wan,dk_value,dk_n,dk_cv_wan,dk_source
salmon farmed,10014,1105,Retinol,2.151,8,fnd,0.3092,7.05,2,0.1564,2068
salmon farmed,10014,1109,alpha-Tocopherol,3.55,4,sr,,3.3,2,0.1028,2068
salmon farmed,10014,1165,Thiamin (Vitamin B1),0.207,4,sr,,0.25,2,0.0679,2068
salmon farmed,10014,1167,Niacin,8.672,4,sr,,7.65,2,0.0111,2068
salmon farmed,10014,1175,Vitamin B6,0.636,4,sr,,0.635,2,0.0668,2068
salmon farmed,10014,1170,Pantothenic acid,1.547,4,sr,,0.81,2,0.2304,2068
salmon farmed,10014,1178,Vitamin B12,5.696,8,fnd,0.2099,4.1,2,0.1655,2068
salmon farmed,10014,1093,Sodium,49.49,8,fnd,0.2536,46.7857142857143,14,0.2942,"2068, 2131"
salmon farmed,10014,1092,Potassium,378.2,8,fnd,0.0654,361.571428571429,14,0.0972,"2068, 2131"
salmon farmed,10014,1087,Calcium,9.423,8,fnd,0.2727,8.68333333333333,12,0.1726,2131
salmon farmed,10014,1090,Magnesium,25.39,8,fnd,0.0563,25.5571428571429,14,0.0573,"2068, 2131"
salmon farmed,10014,1089,Iron,0.2588,8,fnd,0.5981,0.222,14,0.2506,"2068, 2131"
salmon farmed,10014,1098,Copper,0.02469,8,fnd,0.5154,0.0378571428571429,14,0.3094,"2068, 2131"
salmon farmed,10014,1095,Zinc,0.3394,8,fnd,0.1171,0.317142857142857,14,0.12,"2068, 2131"
salmon farmed,10014,1101,Manganese,0.0,8,fnd,,0.00228571428571429,14,1.0249,"2068, 2131"
salmon farmed,10014,1103,Selenium,22.8,8,fnd,0.1651,16.6,14,0.3969,"2068, 2131"
salmon farmed,10014,1091,Phosphorus,230.3,8,fnd,0.0454,218.785714285714,14,0.0669,"2068, 2131"
salmon farmed,10014,1100,Iodine,3.242,8,fnd,0.4369,2.73571428571429,14,0.2248,"2068, 2131"
