ingredient_class,final,and_rule,disagree,hard_veto,kw_score,kw_keep,llm_score,llm_keep,prep,n_obs,source_dataset,source_food_id,description,kw_reasons,llm_reason,wrong_class
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,20,fdc_sr_legacy,171300,"Yogurt, Greek, strawberry, lowfat",,"Strawberry flavored yogurt, fruit added",
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,7,sr28,1292,"Milk, chocolate, fat free, with added vitamin A and vitamin D",,"Chocolate milk, flavored composite",
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,25,fdc_sr_legacy,170910,"Milk, chocolate, lowfat, reduced sugar",,"Chocolate milk, flavored composite",
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,6,sr28,1203,"Yogurt, fruit, lowfat, with low calorie sweetener",,"Fruit yogurt, flavored composite",
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,22,fdc_sr_legacy,170901,"Yogurt, Greek, strawberry, nonfat",,"Strawberry Greek yogurt, flavored",
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,1,fdc_sr_legacy,173457,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D",,"Fruit yogurt, composite",
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,6,sr28,1121,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce",,"Fruit yogurt, composite",
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,1,fdc_sr_legacy,173458,"Yogurt, fruit variety, nonfat, fortified with vitamin D",,"Fruit yogurt, composite",
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,7,sr28,1216,"Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D",,"Fruit yogurt, composite",
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,27,fdc_sr_legacy,170896,"Cheese spread, American or Cheddar cheese base, reduced fat",,Processed cheese spread,
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,14,fdc_foundation,2647439,"Cheese, pasteurized process cheese food or product, American, singles",,Processed cheese product singles,
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,19,fdc_sr_legacy,170907,"Yogurt, Greek, vanilla, lowfat",,Vanilla-flavored yogurt,
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,21,sr28,1284,"Yogurt, Greek, strawberry, lowfat",,Strawberry-flavored yogurt,
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,20,fdc_foundation,330415,"Yogurt, Greek, strawberry, nonfat",,Strawberry-flavored yogurt,
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,24,sr28,1305,"Milk, chocolate, lowfat, reduced sugar",,"Flavored chocolate milk, composite",
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,7,sr28,1219,"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D",,"Fruit yogurt with sweetener, composite",
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,20,fdc_sr_legacy,171298,"Yogurt, Greek, nonfat, vanilla, DANNON OIKOS",,Vanilla flavored branded Greek yogurt,
dairy,DROP,DROP,Y,,0.65,Y,0.10,,other,18,sr28,1276,"Yogurt, Greek, strawberry, DANNON OIKOS",,Strawberry branded Greek yogurt,
dairy,DROP,DROP,Y,,0.65,Y,0.15,,other,23,sr28,1286,"Yogurt, Greek, vanilla, nonfat",,"Vanilla-flavored yogurt, composite",
dairy,DROP,DROP,Y,,0.65,Y,0.20,,other,27,sr28,1259,"Cheese spread, American or Cheddar cheese base, reduced fat",,"Cheese spread, processed composite",
dairy,DROP,DROP,Y,,0.65,Y,0.30,,other,9,sr28,1045,"Cheese food, cold pack, American",,"Processed cheese food, cold pack",
dairy,DROP,DROP,Y,,0.65,Y,0.30,,other,1,fdc_sr_legacy,172218,"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D",,"Fruit yogurt with sweetener, composite",
dairy,DROP,DROP,Y,,0.65,Y,0.30,,other,21,fdc_sr_legacy,170881,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",,"Chocolate milk, flavored composite",
dairy,DROP,DROP,Y,,0.65,Y,0.30,,other,6,sr28,1120,"Yogurt, fruit, low fat, 9 grams protein per 8 ounce",,"Fruit yogurt, flavored composite",
dairy,DROP,DROP,Y,,0.65,Y,0.30,,other,7,sr28,1217,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D",,"Fruit yogurt, flavored composite",
dairy,DROP,DROP,Y,,0.65,Y,0.30,,other,23,sr28,1104,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",,"Chocolate milk, flavored composite",
dairy,DROP,DROP,Y,,0.65,Y,0.30,,other,27,sr28,1252,"Cheese product, pasteurized process, American, vitamin D fortified",,"Processed cheese product, multi-ingredient",
dairy,DROP,DROP,Y,,0.65,Y,0.30,,other,27,fdc_sr_legacy,171291,"Cheese food, pasteurized process, American, without added vitamin D",,"Processed cheese food, multi-ingredient",
dairy,DROP,DROP,Y,,0.65,Y,0.30,,other,27,fdc_sr_legacy,171289,"Cheese product, pasteurized process, American, vitamin D fortified",,"Processed cheese product, multi-ingredient",
dairy,DROP,DROP,Y,,0.65,Y,0.30,,other,27,sr28,1046,"Cheese food, pasteurized process, American, vitamin D fortified",,"Processed cheese food, multi-ingredient",
dairy,DROP,DROP,Y,,0.65,Y,0.30,,other,27,sr28,1254,"Cheese food, pasteurized process, American, without added vitamin D",,"Processed cheese food, multi-ingredient",
dairy,DROP,DROP,Y,,0.65,Y,0.35,,other,6,sr28,1054,"Cream, whipped, cream topping, pressurized",,Pressurized topping with added sugar/stabilizers,
dairy,DROP,DROP,Y,,0.65,Y,0.35,,other,27,fdc_sr_legacy,171252,"Cheese food, pasteurized process, American, vitamin D fortified",,Processed cheese food,
dairy,DROP,DROP,Y,,0.65,Y,0.35,,other,7,sr28,1047,"Cheese food, pasteurized process, swiss",,Processed cheese food,
dairy,DROP,DROP,Y,,0.65,Y,0.35,,other,29,sr28,1042,"Cheese, pasteurized process, American, fortified with vitamin D",,Processed American cheese,
dairy,DROP,DROP,Y,,0.65,Y,0.40,,other,22,sr28,1285,"Yogurt, Greek, strawberry, nonfat",,"Flavored strawberry yogurt, added fruit",
dairy,DROP,DROP,Y,,0.65,Y,0.40,,other,6,sr28,1122,"Yogurt, fruit, low fat, 11 grams protein per 8 ounce",,"Fruit yogurt, added fruit",
dairy,DROP,DROP,Y,,0.65,Y,0.40,,other,1,sr28,1218,"Yogurt, fruit variety, nonfat, fortified with vitamin D",,"Fruit yogurt, added fruit",
dairy,DROP,DROP,Y,,0.65,Y,0.40,,other,18,fdc_sr_legacy,171296,"Yogurt, Greek, nonfat, vanilla, CHOBANI",,Vanilla flavored branded yogurt,
dairy,DROP,DROP,Y,,0.65,Y,0.40,,other,23,fdc_sr_legacy,170902,"Yogurt, Greek, vanilla, nonfat",,Vanilla flavored Greek yogurt,
dairy,DROP,DROP,Y,,0.65,Y,0.40,,other,1,fdc_sr_legacy,173456,"Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D",,"Fruit yogurt, added fruit",
dairy,DROP,DROP,Y,,0.65,Y,0.40,,other,19,sr28,1280,"Yogurt, Greek, nonfat, strawberry, DANNON OIKOS",,Branded strawberry Greek yogurt,
dairy,DROP,DROP,Y,,0.65,Y,0.40,,other,19,fdc_sr_legacy,171299,"Yogurt, Greek, nonfat, strawberry, DANNON OIKOS",,Branded strawberry Greek yogurt,
dairy,DROP,DROP,Y,,0.65,Y,0.40,,other,26,sr28,1253,"Cheese, pasteurized process, American, without added vitamin D",,Pasteurized process American cheese,
dairy,DROP,DROP,Y,,0.65,Y,0.40,,other,19,sr28,1297,"Yogurt, Greek, vanilla, lowfat",,"Greek vanilla yogurt, flavored/sweetened",
dairy,DROP,DROP,Y,,0.65,Y,0.40,,other,15,sr28,1294,"Yogurt, Greek, fruit, whole milk",,"Greek fruit yogurt, composite flavored",
dairy,DROP,DROP,Y,,0.65,Y,0.40,,other,15,fdc_sr_legacy,170905,"Yogurt, Greek, fruit, whole milk",,"Greek fruit yogurt, flavored composite",
dairy,DROP,DROP,Y,,0.65,Y,0.40,,other,17,sr28,1048,"Cheese spread, pasteurized process, American",,"Processed cheese spread, composite",
dairy,DROP,DROP,Y,,0.65,Y,0.40,,other,25,fdc_sr_legacy,171290,"Cheese, pasteurized process, American, without added vitamin D",,Processed cheese with emulsifiers,
dairy,DROP,DROP,Y,Y,0.00,,0.60,Y,other,18,fdc_foundation,747429,"Cheese, American, restaurant",-fastfood/babyfood/restaurant,"American cheese, restaurant but single cheese",
egg,DROP,DROP,Y,,0.65,Y,0.02,,other,28,fdc_sr_legacy,174909,"Bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and eggs",,"Cornbread mix, composite baked good",plant
egg,DROP,DROP,Y,,0.65,Y,0.02,,other,19,fdc_sr_legacy,173307,"McDONALD'S, Egg McMUFFIN",,"McDonald's Egg McMuffin, composite",
egg,DROP,DROP,Y,,0.65,Y,0.02,,other,19,sr28,21357,"McDONALD'S, Egg McMUFFIN",,"McDonald's Egg McMuffin, composite",
egg,DROP,DROP,Y,,0.65,Y,0.02,,other,26,fdc_sr_legacy,172105,"Egg rolls, vegetable, frozen, prepared",,"Vegetable egg rolls, composite",
egg,DROP,DROP,Y,,0.65,Y,0.02,,other,26,sr28,22955,"Egg rolls, vegetable, frozen, prepared",,"Egg rolls, composite prepared",
egg,DROP,DROP,Y,,0.65,Y,0.02,,other,28,sr28,18023,"Bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and eggs",,"Cornbread mix, composite",plant
egg,DROP,DROP,Y,,0.65,Y,0.05,,other,8,sr28,1057,Eggnog,,"Eggnog, composite beverage",dairy
fat_oil,DROP,DROP,Y,,0.65,Y,0.02,,other,23,sr28,35142,"Frybread, made with lard (Navajo)",,"Frybread, composite dish",plant
fat_oil,DROP,DROP,Y,,0.65,Y,0.02,,other,23,sr28,25026,"Popcorn, microwave, regular (butter) flavor, made with palm oil",,"Microwave popcorn snack; composite, not pure oil.",snack
fat_oil,DROP,DROP,Y,,0.65,Y,0.02,,other,22,sr28,35185,"Frybread, made with lard (Apache)",,"Frybread, composite dish",plant
fat_oil,DROP,DROP,Y,,0.65,Y,0.02,,other,23,fdc_sr_legacy,173141,"Popcorn, microwave, regular (butter) flavor, made with palm oil",,"Microwave popcorn snack; composite, not pure oil.",snack
fat_oil,DROP,DROP,Y,,0.65,Y,0.02,,other,22,fdc_sr_legacy,167655,"Frybread, made with lard (Apache)",,"Frybread, composite dish",plant
fat_oil,DROP,DROP,Y,,0.65,Y,0.02,,other,23,fdc_sr_legacy,167635,"Frybread, made with lard (Navajo)",,"Frybread, a prepared dish",plant
fat_oil,DROP,DROP,Y,,0.65,Y,0.03,,other,10,sr28,1060,"Milk, filled, fluid, with lauric acid oil",,Filled milk with lauric oil; composite imitation product.,
fat_oil,DROP,DROP,Y,,0.65,Y,0.04,,other,13,fdc_sr_legacy,171443,"Mayonnaise, reduced fat, with olive oil",,"Mayonnaise, composite emulsion product",
fat_oil,DROP,DROP,Y,,0.65,Y,0.04,,other,13,sr28,4708,"Mayonnaise, reduced fat, with olive oil",,"Mayonnaise, composite emulsion product",
fat_oil,DROP,DROP,Y,,0.65,Y,0.12,,other,12,fdc_sr_legacy,173588,"Margarine, margarine-type vegetable oil spread, 70% fat, soybean and partially hydrogenated soybean, stick",,"Margarine spread, processed hydrogenated blend",
fat_oil,DROP,DROP,Y,,0.65,Y,0.12,,other,14,sr28,4629,"Margarine, margarine-type vegetable oil spread, 70% fat, soybean and partially hydrogenated soybean, stick",,"Margarine spread, processed hydrogenated blend",
fat_oil,DROP,DROP,Y,,0.65,Y,0.13,,other,10,sr28,4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",,"Margarine spread, processed multi-ingredient",
fat_oil,DROP,DROP,Y,,0.65,Y,0.13,,other,16,sr28,4690,"Margarine-like, vegetable oil spread, approximately 37% fat, unspecified oils, with salt, with added vitamin D",,"Margarine spread, processed multi-ingredient",
fat_oil,DROP,DROP,Y,,0.65,Y,0.13,,other,6,sr28,4693,"Margarine-like, vegetable oil spread, 60% fat, stick, with salt, with added vitamin D",,"Margarine spread, processed multi-ingredient",
fat_oil,DROP,DROP,Y,,0.65,Y,0.13,,other,10,fdc_sr_legacy,171038,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",,"Margarine spread, processed multi-ingredient",
fat_oil,DROP,DROP,Y,,0.65,Y,0.14,,other,1,sr28,4614,"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, with salt",,"Margarine spread, processed multi-ingredient",
fat_oil,DROP,DROP,Y,,0.65,Y,0.14,,other,9,fdc_sr_legacy,172348,"Margarine-like, vegetable oil spread, 60% fat, stick, with salt",,"Margarine spread, processed multi-ingredient",
fat_oil,DROP,DROP,Y,,0.65,Y,0.14,,other,9,fdc_sr_legacy,173582,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",,"Margarine spread, processed multi-ingredient",
fat_oil,DROP,DROP,Y,,0.65,Y,0.14,,other,9,fdc_sr_legacy,171431,"Margarine, margarine-like vegetable oil spread, 67-70% fat, tub",,"Margarine spread, processed multi-ingredient",
fat_oil,DROP,DROP,Y,,0.65,Y,0.15,,other,10,sr28,4631,"Margarine-like, vegetable oil spread, fat-free, tub",,"Margarine spread, processed multi-ingredient",
fat_oil,DROP,DROP,Y,,0.65,Y,0.15,,other,10,fdc_sr_legacy,172353,"Margarine-like, vegetable oil spread, fat-free, tub",,"Margarine spread, processed multi-ingredient",
fat_oil,DROP,DROP,Y,,0.65,Y,0.15,,other,6,fdc_sr_legacy,171437,"Margarine-like, vegetable oil spread, 60% fat, stick, with salt, with added vitamin D",,"Margarine spread, composite with additives",
fat_oil,DROP,DROP,Y,,0.65,Y,0.15,,other,16,sr28,4128,"Margarine-like, vegetable oil spread, unspecified oils, approximately 37% fat, with salt",,"Margarine spread, composite emulsion",
fat_oil,DROP,DROP,Y,,0.65,Y,0.15,,other,16,fdc_sr_legacy,171434,"Margarine-like, vegetable oil spread, approximately 37% fat, unspecified oils, with salt, with added vitamin D",,"Margarine spread, composite with additives",
fat_oil,DROP,DROP,Y,,0.65,Y,0.15,,other,1,fdc_sr_legacy,173583,"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, with salt",,"Margarine spread, composite emulsion",
fat_oil,DROP,DROP,Y,,0.65,Y,0.15,,other,9,sr28,4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",,"Margarine spread, composite emulsion",
fat_oil,DROP,DROP,Y,,0.65,Y,0.15,,other,8,sr28,4683,"Margarine, margarine-like vegetable oil spread, 67-70% fat, tub",,"Margarine spread, composite emulsion",
fat_oil,DROP,DROP,Y,,0.65,Y,0.15,,other,9,sr28,4612,"Margarine-like, vegetable oil spread, 60% fat, stick, with salt",,"Margarine spread, composite emulsion",
fat_oil,DROP,DROP,Y,,0.65,Y,0.20,,other,3,fdc_sr_legacy,171433,"Oil, cooking and salad, ENOVA, 80% diglycerides",,Branded ENOVA engineered diglyceride oil,
fat_oil,DROP,DROP,Y,,0.65,Y,0.20,,other,3,sr28,4685,"Oil, cooking and salad, ENOVA, 80% diglycerides",,Branded ENOVA engineered diglyceride oil,
fat_oil,DROP,DROP,Y,,0.65,Y,0.35,,other,2,sr28,4546,"Shortening bread, soybean (hydrogenated) and cottonseed",,"Shortening, hydrogenated multi-oil blend",
fat_oil,DROP,DROP,Y,,0.65,Y,0.35,,other,2,sr28,42289,"Oil, corn and canola",,"Corn/canola blend, not single oil",
fat_oil,DROP,DROP,Y,,0.65,Y,0.35,,other,2,fdc_sr_legacy,169867,"Oil, corn and canola",,"Corn/canola blend, not single oil",
fat_oil,DROP,DROP,Y,,0.65,Y,0.35,,other,2,sr28,4544,"Shortening, household, lard and vegetable oil",,"Shortening, lard/oil blend",
fat_oil,DROP,DROP,Y,,0.65,Y,0.35,,other,3,sr28,4031,"Shortening, household, soybean (partially hydrogenated)-cottonseed (partially hydrogenated)",,"Shortening, hydrogenated multi-oil blend",
fat_oil,DROP,DROP,Y,,0.65,Y,0.40,,other,5,sr28,4615,"Shortening, vegetable, household, composite",,Composite hydrogenated vegetable shortening blend,
fat_oil,DROP,DROP,Y,,0.65,Y,0.40,,other,2,sr28,4554,"Shortening industrial, soybean (hydrogenated) and cottonseed",,Industrial hydrogenated soybean-cottonseed shortening blend,
fat_oil,DROP,DROP,Y,,0.65,Y,0.40,,other,1,fdc_sr_legacy,171011,"Shortening, household, soybean (partially hydrogenated)-cottonseed (partially hydrogenated)",,Hydrogenated soybean-cottonseed shortening blend,
fat_oil,DROP,DROP,Y,,0.65,Y,0.40,,other,5,fdc_sr_legacy,173584,"Shortening, vegetable, household, composite",,Composite hydrogenated vegetable shortening blend,
fat_oil,DROP,DROP,Y,,0.65,Y,0.40,,other,1,sr28,4548,"Shortening cake mix, soybean (hydrogenated) and cottonseed (hydrogenated)",,Hydrogenated soybean-cottonseed cake shortening blend,
fat_oil,DROP,DROP,Y,,0.65,Y,0.40,,other,1,sr28,4556,"Shortening frying (heavy duty), palm (hydrogenated)",,"Hydrogenated palm frying shortening, processed",
fat_oil,DROP,DROP,Y,,0.65,Y,0.40,,other,1,sr28,4549,"Shortening industrial, lard and vegetable oil",,Lard-vegetable oil industrial shortening blend,
fat_oil,DROP,DROP,Y,,0.65,Y,0.45,,other,1,fdc_sr_legacy,173565,"Oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed",,"Hydrogenated soybean-cottonseed blend, processed composite",
fat_oil,DROP,DROP,Y,,0.65,Y,0.45,,other,2,sr28,4543,"Oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed",,"Hydrogenated soybean-cottonseed blend, processed composite",
fish,DROP,DROP,Y,,0.75,Y,0.01,,other,19,sr28,21232,"McDONALD'S, FILET-O-FISH",+cut/part,"McDonald's Filet-O-Fish, branded fast food",
fish,DROP,DROP,Y,,0.75,Y,0.01,,other,19,fdc_sr_legacy,170319,"McDONALD'S, FILET-O-FISH",+cut/part,"McDonald's Filet-O-Fish, branded",
fish,DROP,DROP,Y,,0.65,Y,0.02,,other,28,sr28,36018,"APPLEBEE'S, fish, hand battered",,"Applebee's battered fish, restaurant",
fish,DROP,DROP,Y,,0.65,Y,0.02,,other,28,fdc_sr_legacy,169017,"APPLEBEE'S, fish, hand battered",,Applebee's battered fish,
fish,DROP,DROP,Y,,0.65,Y,0.05,,other,31,sr28,15027,"Fish, fish sticks, frozen, prepared",,"Breaded fish sticks, composite",
