final,and_rule,disagree,hard_veto,kw_score,kw_keep,llm_score,llm_keep,prep,n_obs,source_dataset,source_food_id,description,kw_reasons,llm_reason,wrong_class
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,6,sr28,15090,"Fish, scup, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,16,sr28,15266,"Fish, pollock, Alaska, raw (not previously frozen)",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,23,fdc_foundation,333374,"Fish, haddock, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,5,sr28,15023,"Fish, mahimahi, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,24,fdc_foundation,333476,"Fish, pollock, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,19,fdc_foundation,2684444,"Fish, cod, Atlantic, wild caught, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,11,sr28,15093,"Fish, seatrout, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,22,sr28,15039,"Fish, herring, Atlantic, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,19,sr28,15081,"Fish, salmon, coho, wild, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,6,sr28,15103,"Fish, spot, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,13,sr28,15123,"Fish, tuna, fresh, skipjack, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,15,sr28,15143,"Crustaceans, crab, dungeness, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,fdc_sr_legacy,174200,"Fish, halibut, Atlantic and Pacific, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,18,fdc_foundation,2684442,"Fish, tilapia, farm raised, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,19,fdc_foundation,2684440,"Fish, salmon, sockeye, wild caught, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,24,fdc_sr_legacy,175181,"Fish, trout, brook, raw, New York State",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,10,sr28,15171,"Mollusks, oyster, Pacific, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,29,fdc_sr_legacy,174210,"Crustaceans, shrimp, mixed species, raw (may contain additives to retain moisture)",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,11,sr28,15099,"Fish, smelt, rainbow, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,11,sr28,15045,"Fish, lingcod, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,41,fdc_foundation,2768188,"Alaska Pollock, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,6,sr28,15114,"Fish, trout, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,21,sr28,15238,"Fish, salmon, coho, farmed, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,17,sr28,15062,"Fish, pike, northern, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,13,sr28,15097,"Fish, sheepshead, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,26,fdc_sr_legacy,173691,"Fish, salmon, sockeye, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,8,fdc_sr_legacy,168047,"Fish, salmon, king (chinook), raw (Alaska Native)",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,8,sr28,15007,"Fish, butterfish, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,17,sr28,15268,"Fish, cod, Pacific, raw (not previously frozen)",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,sr28,15083,"Fish, salmon, pink, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,5,sr28,15025,"Fish, eel, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,fdc_sr_legacy,175130,"Fish, pollock, Alaska, raw (may contain additives to retain moisture)",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,sr28,15070,"Fish, rockfish, Pacific, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,10,sr28,15108,"Fish, sunfish, pumpkin seed, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,fdc_sr_legacy,173703,"Fish, swordfish, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,26,sr28,15236,"Fish, salmon, Atlantic, farmed, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,24,sr28,15274,"Fish, trout, brook, raw, New York State",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,28,fdc_sr_legacy,174214,"Mollusks, clam, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,1,sr28,15167,"Mollusks, oyster, eastern, wild, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,sr28,15057,"Fish, ocean perch, Atlantic, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,28,fdc_sr_legacy,174196,"Fish, flatfish (flounder and sole species), raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,26,sr28,15033,"Fish, haddock, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,sr28,15127,"Fish, tuna, fresh, yellowfin, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,6,sr28,15038,"Fish, halibut, Greenland, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,25,fdc_sr_legacy,174220,"Mollusks, scallop, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,16,sr28,15022,"Fish, cusk, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,sr28,15036,"Fish, halibut, Atlantic and Pacific, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,8,sr28,15104,"Fish, sturgeon, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,29,sr28,15149,"Crustaceans, shrimp, mixed species, raw (may have been previously frozen)",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,sr28,15085,"Fish, salmon, sockeye, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,fdc_sr_legacy,175138,"Fish, salmon, pink, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,13,sr28,15117,"Fish, tuna, fresh, bluefin, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,3,sr28,15005,"Fish, bluefish, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,14,sr28,15136,"Crustaceans, crab, alaska king, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,8,sr28,15144,"Crustaceans, crab, queen, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,19,sr28,15015,"Fish, cod, Atlantic, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,6,sr28,15013,"Fish, cisco, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,16,fdc_sr_legacy,173725,"Fish, pollock, Alaska, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,1,fdc_sr_legacy,171955,"Fish, cod, Atlantic, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,fdc_sr_legacy,175159,"Fish, tuna, fresh, yellowfin, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,13,sr28,15074,"Fish, sablefish, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,fdc_sr_legacy,175165,"Fish, catfish, channel, farmed, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,13,sr28,15064,"Fish, pike, walleye, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,sr28,15066,"Fish, pollock, Alaska, raw (may have been previously frozen)",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,21,sr28,15073,"Fish, roughy, orange, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,6,sr28,15095,"Fish, shark, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,21,sr28,15245,"Mollusks, oyster, eastern, farmed, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,19,sr28,15055,"Fish, mullet, striped, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,sr28,15110,"Fish, swordfish, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,18,fdc_sr_legacy,173688,"Fish, salmon, chinook, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,8,sr28,15079,"Fish, salmon, chum, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,10,sr28,15132,"Fish, whiting, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,28,fdc_sr_legacy,174191,"Fish, cod, Pacific, raw (may have been previously frozen)",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,6,sr28,15060,"Fish, perch, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,7,sr28,15004,"Fish, bass, striped, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,12,sr28,15164,"Mollusks, mussel, blue, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,9,sr28,15134,"Fish, wolffish, Atlantic, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,28,sr28,15028,"Fish, flatfish (flounder and sole species), raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,5,sr28,15001,"Fish, anchovy, european, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,17,fdc_foundation,2684445,"Fish, catfish, farm raised, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,26,fdc_sr_legacy,175125,"Fish, ocean perch, Atlantic, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,6,sr28,15059,"Fish, pout, ocean, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,fdc_sr_legacy,173717,"Fish, trout, rainbow, farmed, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,6,sr28,15130,"Fish, whitefish, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,26,fdc_sr_legacy,171964,"Fish, haddock, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,12,sr28,15044,"Fish, ling, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,12,sr28,15076,"Fish, salmon, Atlantic, wild, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,13,sr28,15051,"Fish, mackerel, spanish, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,18,sr28,15046,"Fish, mackerel, Atlantic, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,18,sr28,15008,"Fish, carp, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,14,sr28,15065,"Fish, pollock, Atlantic, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,19,fdc_foundation,2684441,"Fish, salmon, Atlantic, farm raised, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,16,fdc_foundation,2684443,"Crustaceans, shrimp, farm raised, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,9,sr28,15006,"Fish, burbot, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,28,sr28,15157,"Mollusks, clam, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,16,fdc_sr_legacy,175179,"Crustaceans, shrimp, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,20,sr28,15010,"Fish, catfish, channel, wild, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,28,sr28,15234,"Fish, catfish, channel, farmed, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,13,sr28,15024,"Fish, drum, freshwater, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,4,sr28,15101,"Fish, snapper, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,6,sr28,15020,"Fish, croaker, Atlantic, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,2,sr28,15053,"Fish, milkfish, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,25,sr28,15172,"Mollusks, scallop, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,5,sr28,15135,"Fish, yellowtail, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,28,sr28,15240,"Fish, trout, rainbow, farmed, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,10,sr28,15050,"Fish, mackerel, Pacific and jack, mixed species, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,16,sr28,15139,"Crustaceans, crab, blue, raw",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,27,sr28,35149,"Fish, halibut, raw, with skin (Alaska Native)",+raw,slam-dunk keep (not sent to LLM),
KEEP,KEEP,,,0.90,Y,1.00,Y,raw,6,sr28,15094,"Fish, shad, american, raw",+raw,slam-dunk keep (not sent to LLM),
